,dataset,6,2,3,1,11
438,AbdomenCT1K,63.61,7.145,7.145,19.74,2.37
439,AbdomenCT1K,71.23,8.27,8.27,8.94,3.28
440,AbdomenCT1K,73.15,3.755,3.755,15.4,3.94
441,AbdomenCT1K,69.71,7.27,7.27,11.06,4.69
442,AbdomenCT1K,72.34,6.475,6.475,8.7,6.01
443,AbdomenCT1K,69.08,7.675,7.675,9.34,6.24
444,AbdomenCT1K,63.56,8.155,8.155,15.93,4.21
445,AbdomenCT1K,68.4,9.365,9.365,7.53,5.33
446,AbdomenCT1K,66.04,6.93,6.93,16.8,3.3
447,AbdomenCT1K,69.88,7.25,7.25,13.14,2.48
448,AbdomenCT1K,64.39,7.275,7.275,11.44,9.63
449,AbdomenCT1K,67.99,9.12,9.12,9.31,4.46
450,AbdomenCT1K,66.78,8.17,8.17,13.16,3.73
451,AbdomenCT1K,73.15,8.655,8.655,5.44,4.1
452,AbdomenCT1K,67.31,7.15,7.15,12.8,5.6
453,AbdomenCT1K,63.25,9.425,9.425,12.1,5.79
454,AbdomenCT1K,61.32,8.205,8.205,17.18,5.09
455,AbdomenCT1K,72.01,8.77,8.77,7.04,3.4
456,AbdomenCT1K,66.41,7.855,7.855,11.19,6.69
457,AbdomenCT1K,72.86,7.97,7.97,7.55,3.65
458,AbdomenCT1K,68.92,8.7,8.7,7.9,5.77
459,AbdomenCT1K,60.2,10.16,10.16,14.47,5.01
460,AbdomenCT1K,68.38,8.13,8.13,13.02,2.34
461,AbdomenCT1K,69.49,9.175,9.175,8.86,3.3
462,AbdomenCT1K,74.7,6.25,6.25,9.45,3.35
463,AbdomenCT1K,77.87,5.065,5.065,10.19,1.81
464,AbdomenCT1K,65.88,9.935,9.935,9.44,4.81
465,AbdomenCT1K,71.08,5.13,5.13,15.81,2.85
466,AbdomenCT1K,67.95,9,9,11.29,2.76
467,AbdomenCT1K,69.81,8.315,8.315,11.68,1.88
468,AbdomenCT1K,73.13,7.3,7.3,9.8,2.47
469,AbdomenCT1K,66.93,9.69,9.69,10.23,3.46
470,AbdomenCT1K,60.26,10.61,10.61,15.06,3.46
471,AbdomenCT1K,75.28,6.135,6.135,9.85,2.59
472,AbdomenCT1K,72.35,7.935,7.935,10.53,1.25
473,AbdomenCT1K,68.99,7.7,7.7,13.8,1.82
474,AbdomenCT1K,67.74,7.775,7.775,12.94,3.77
475,AbdomenCT1K,71.52,8.475,8.475,9.15,2.39
476,AbdomenCT1K,71.51,5.785,5.785,11.2,5.71
477,AbdomenCT1K,71.61,7.775,7.775,10.87,1.97
478,AbdomenCT1K,66.22,8.48,8.48,11.83,4.98
479,AbdomenCT1K,76.63,5.865,5.865,10.02,1.62
480,AbdomenCT1K,72.33,8.485,8.485,8.66,2.04
481,AbdomenCT1K,66.18,9.125,9.125,12.4,3.17
482,AbdomenCT1K,68.81,8.7,8.7,10.74,3.05
483,AbdomenCT1K,77.08,6.115,6.115,9.82,0.87
484,AbdomenCT1K,64.97,13.205,13.205,5.06,3.56
485,AbdomenCT1K,72.33,8.625,8.625,7.1,3.32
486,AbdomenCT1K,75.64,6.535,6.535,6.98,4.3
487,AbdomenCT1K,68.78,8.54,8.54,8.36,5.78
488,AbdomenCT1K,73.42,7.2,7.2,6.89,5.3
489,AbdomenCT1K,57.8,12.66,12.66,13.23,3.66
490,AbdomenCT1K,77.58,8.105,8.105,0,6.21
491,AbdomenCT1K,71.68,7.245,7.245,8.54,5.29
492,AbdomenCT1K,73.47,7.495,7.495,6.88,4.65
493,AbdomenCT1K,71.87,9.77,9.77,4.32,4.27
494,AbdomenCT1K,65.92,9.27,9.27,11.59,3.95
495,AbdomenCT1K,68.63,7.28,7.28,14.1,2.71
496,AbdomenCT1K,74.9,5.36,5.36,12.01,2.37
497,AbdomenCT1K,58.38,12.51,12.51,12.3,4.3
498,AbdomenCT1K,61.62,8.37,8.37,18.01,3.63
499,AbdomenCT1K,76.02,8.235,8.235,4.7,2.81
500,AbdomenCT1K,71.08,9.5,9.5,7.23,2.69
501,AbdomenCT1K,73.31,7.63,7.63,9,2.43
502,AbdomenCT1K,67.76,9.555,9.555,9.95,3.18
503,AbdomenCT1K,69.44,7.975,7.975,11.53,3.08
504,AbdomenCT1K,70.51,7.6,7.6,10.75,3.54
505,AbdomenCT1K,56.8,8.46,8.46,23.74,2.54
506,AbdomenCT1K,69.11,7.38,7.38,13.17,2.96
507,AbdomenCT1K,71.1,9.165,9.165,7.12,3.46
508,AbdomenCT1K,65.64,11.235,11.235,7.63,4.25
509,AbdomenCT1K,64.71,11.94,11.94,7.88,3.53
510,AbdomenCT1K,64.96,8.09,8.09,16.15,2.7
511,AbdomenCT1K,66.7,12.13,12.13,5.08,3.95
512,AbdomenCT1K,64.67,11.05,11.05,10.51,2.72
513,AbdomenCT1K,63.11,10.59,10.59,12.01,3.7
514,AbdomenCT1K,67.68,10.69,10.69,6.65,4.3
515,AbdomenCT1K,63.36,8.895,8.895,15.44,3.41
516,AbdomenCT1K,72.27,10.17,10.17,3.69,3.7
517,AbdomenCT1K,61.8,9.785,9.785,14.29,4.34
518,AbdomenCT1K,75.25,7.03,7.03,8.12,2.58
519,AbdomenCT1K,65.66,7.165,7.165,15.29,4.72
520,AbdomenCT1K,56.14,10.33,10.33,18.53,4.67
521,AbdomenCT1K,71.29,11.14,11.14,3.75,2.68
522,AbdomenCT1K,65.9,10.83,10.83,9.16,3.29
523,AbdomenCT1K,68.74,9.98,9.98,8.28,3.01
524,AbdomenCT1K,62.1,10.6,10.6,11.54,5.16
525,AbdomenCT1K,69.03,9.78,9.78,7.87,3.54
526,AbdomenCT1K,68.87,8.2,8.2,10.04,4.69
527,AbdomenCT1K,70.25,6.595,6.595,11.79,4.77
528,AbdomenCT1K,66.39,6.585,6.585,16.9,3.54
529,AbdomenCT1K,68.61,9.125,9.125,9.84,3.3
530,AbdomenCT1K,71.99,5.235,5.235,15.83,1.71
531,AbdomenCT1K,69.66,8.52,8.52,8.4,4.9
532,AbdomenCT1K,72.2,8.445,8.445,7.87,3.04
533,AbdomenCT1K,66.15,11.095,11.095,6.94,4.72
534,AbdomenCT1K,74.11,5.995,5.995,9.99,3.91
535,AbdomenCT1K,77.89,5.575,5.575,8.31,2.65
536,AbdomenCT1K,77.27,7.025,7.025,5.87,2.82
537,AbdomenCT1K,70.53,7.5,7.5,10.21,4.26
538,AbdomenCT1K,66.08,9.14,9.14,10.63,5.01
539,AbdomenCT1K,62.73,9.905,9.905,14.47,2.99
540,AbdomenCT1K,67.11,9.31,9.31,10.42,3.85
541,AbdomenCT1K,67.04,9.1,9.1,11.51,3.25
542,AbdomenCT1K,65.44,10.15,10.15,11.15,3.1
543,AbdomenCT1K,67,8.875,8.875,10.37,4.89
544,AbdomenCT1K,70.54,9.325,9.325,6.58,4.23
545,AbdomenCT1K,70.88,7.43,7.43,10.55,3.71
546,AbdomenCT1K,64.1,11.91,11.91,9.76,2.32
547,AbdomenCT1K,66.1,10,10,11.85,2.05
548,AbdomenCT1K,67.53,12.265,12.265,5.39,2.55
549,AbdomenCT1K,64.42,8.975,8.975,13.52,4.11
550,AbdomenCT1K,62.87,12.38,12.38,9.38,2.99
551,AbdomenCT1K,72.71,7.64,7.64,8.86,3.14
552,AbdomenCT1K,63.64,10.185,10.185,11.13,4.85
553,AbdomenCT1K,61.78,12.55,12.55,9.21,3.91
554,AbdomenCT1K,72.09,9.045,9.045,7.9,1.92
555,AbdomenCT1K,68.42,9.8,9.8,9.55,2.43
556,AbdomenCT1K,61.54,11.6,11.6,10.23,5.03
557,AbdomenCT1K,65.1,11.02,11.02,9.3,3.57
558,AbdomenCT1K,70.28,8.56,8.56,8.47,4.13
559,AbdomenCT1K,72.69,6.96,6.96,8.61,4.78
560,AbdomenCT1K,69.08,8.185,8.185,9.72,4.83
561,AbdomenCT1K,63.66,10.775,10.775,10.16,4.62
562,AbdomenCT1K,66.02,8.04,8.04,12.85,5.06
563,AbdomenCT1K,71.14,8.65,8.65,6.88,4.68
564,AbdomenCT1K,78.08,7.33,7.33,4.55,2.71
565,AbdomenCT1K,70.32,9.42,9.42,7.49,3.35
566,AbdomenCT1K,70.27,7.64,7.64,11.01,3.44
567,AbdomenCT1K,70.39,7.515,7.515,10.49,4.1
568,AbdomenCT1K,61.85,11.48,11.48,11.44,3.75
569,AbdomenCT1K,69.12,5.79,5.79,15.39,3.92
570,AbdomenCT1K,64.65,10.445,10.445,10.5,3.97
571,AbdomenCT1K,70.03,6.845,6.845,14.55,1.73
572,AbdomenCT1K,65.06,10.37,10.37,10.02,4.18
573,AbdomenCT1K,69.24,9.275,9.275,8.55,3.65
574,AbdomenCT1K,73.14,7.295,7.295,8.75,3.52
575,AbdomenCT1K,71.29,7.875,7.875,9.44,3.51
576,AbdomenCT1K,70.69,8.14,8.14,9.71,3.33
577,AbdomenCT1K,64.73,10.69,10.69,9.31,4.58
578,AbdomenCT1K,70.91,7.65,7.65,10.05,3.74
579,AbdomenCT1K,61.99,14.39,14.39,5.68,3.55
580,AbdomenCT1K,63.43,9.8,9.8,11.59,5.38
581,AbdomenCT1K,65.24,8.76,8.76,12.63,4.6
582,AbdomenCT1K,70.31,8.545,8.545,8.74,3.85
583,AbdomenCT1K,64.75,10.705,10.705,9.17,4.67
584,AbdomenCT1K,72.8,8.025,8.025,7.55,3.6
585,AbdomenCT1K,73.24,7.655,7.655,7.22,4.23
586,AbdomenCT1K,62.11,9.97,9.97,13.97,3.98
587,AbdomenCT1K,67.93,6.065,6.065,17.03,2.91
588,AbdomenCT1K,66.87,10.13,10.13,10.37,2.49
589,AbdomenCT1K,73.7,9.525,9.525,5.2,2.05
590,AbdomenCT1K,73.02,7.165,7.165,7.92,4.74
591,AbdomenCT1K,72.16,8.8,8.8,7.3,2.95
592,AbdomenCT1K,76.87,5.65,5.65,8.01,3.82
593,AbdomenCT1K,72.03,7.735,7.735,9.48,3.01
594,AbdomenCT1K,71.71,7.615,7.615,8.32,4.74
595,AbdomenCT1K,66.17,7.98,7.98,13.6,4.28
596,AbdomenCT1K,69.08,8.755,8.755,10.02,3.4
597,AbdomenCT1K,71.83,7.62,7.62,8.27,4.66
598,AbdomenCT1K,69.85,8.16,8.16,9.88,3.95
599,AbdomenCT1K,68.84,9.16,9.16,8.41,4.43
600,AbdomenCT1K,66.19,8.31,8.31,13.19,4
601,AbdomenCT1K,68.7,8.85,8.85,7.8,5.79
602,AbdomenCT1K,72.74,4.25,4.25,13.81,4.95
603,AbdomenCT1K,74.17,7.005,7.005,6.95,4.88
604,AbdomenCT1K,70.32,7.54,7.54,12.28,2.32
605,AbdomenCT1K,67.07,9.93,9.93,7.07,6
606,AbdomenCT1K,69.82,7.465,7.465,10.7,4.55
607,AbdomenCT1K,70.85,9.975,9.975,4.38,4.82
608,AbdomenCT1K,69.67,8.01,8.01,10.16,4.16
609,AbdomenCT1K,59.36,8.02,8.02,20.89,3.71
610,AbdomenCT1K,67.75,7.49,7.49,13.4,3.87
611,AbdomenCT1K,61.8,7.995,7.995,17.72,4.49
612,AbdomenCT1K,73.9,8.02,8.02,6.99,3.07
613,AbdomenCT1K,70.35,6.99,6.99,12.37,3.3
614,AbdomenCT1K,65.61,11.41,11.41,7.05,4.52
615,AbdomenCT1K,71.12,7.255,7.255,10.46,3.9
616,AbdomenCT1K,57.74,14.51,14.51,8.11,5.12
617,AbdomenCT1K,70.45,9.355,9.355,9,1.83
618,AbdomenCT1K,65.09,10.14,10.14,10.56,4.06
619,AbdomenCT1K,69.99,8.98,8.98,8.63,3.41
620,AbdomenCT1K,67,9.69,9.69,11.09,2.53
621,AbdomenCT1K,71.23,8.475,8.475,9.38,2.44
622,AbdomenCT1K,68.98,9.145,9.145,7.87,4.87
623,AbdomenCT1K,54.52,12.25,12.25,17.25,3.73
624,AbdomenCT1K,73.67,7.735,7.735,7.41,3.46
625,AbdomenCT1K,70.37,6.68,6.68,12.97,3.3
626,AbdomenCT1K,69.18,7.485,7.485,12.06,3.79
627,AbdomenCT1K,72.32,5.69,5.69,12.96,3.34
628,AbdomenCT1K,70.22,7.605,7.605,10.78,3.78
629,AbdomenCT1K,71.78,8.14,8.14,5.16,6.78
630,AbdomenCT1K,72.42,10.035,10.035,3.51,4
631,AbdomenCT1K,68.97,8.8,8.8,10.5,2.93
632,AbdomenCT1K,71.57,9.66,9.66,6.25,2.85
633,AbdomenCT1K,71.83,9.275,9.275,5.3,4.31
634,AbdomenCT1K,71.81,9,9,7.73,2.47
635,AbdomenCT1K,70.86,8.81,8.81,8.02,3.49
636,AbdomenCT1K,60.59,11.365,11.365,10.91,5.77
637,AbdomenCT1K,78.09,5.115,5.115,7.47,4.21
638,AbdomenCT1K,68.62,6.12,6.12,14.38,4.76
639,AbdomenCT1K,67.93,9.04,9.04,9.03,4.97
640,AbdomenCT1K,66.92,10.29,10.29,8.52,3.98
641,AbdomenCT1K,72.54,8.64,8.64,8.01,2.16
642,AbdomenCT1K,67.72,9.625,9.625,9.4,3.63
643,AbdomenCT1K,70.86,6.035,6.035,13.74,3.32
644,AbdomenCT1K,69.67,7.94,7.94,8.12,6.32
645,AbdomenCT1K,69.3,8.42,8.42,10.06,3.8
646,AbdomenCT1K,68.12,8.38,8.38,12.02,3.1
647,AbdomenCT1K,72.33,8.51,8.51,6.91,3.74
648,AbdomenCT1K,70.04,10.16,10.16,6.11,3.53
649,AbdomenCT1K,68.79,9.345,9.345,9.66,2.86
650,AbdomenCT1K,69.89,7.145,7.145,9.85,5.97
651,AbdomenCT1K,66.77,9.535,9.535,11.16,3
652,AbdomenCT1K,66.51,9.235,9.235,9.74,5.28
653,AbdomenCT1K,67.1,9.255,9.255,10.48,3.9
654,AbdomenCT1K,68.24,7.49,7.49,11.18,5.6
655,AbdomenCT1K,63.49,8.365,8.365,15.11,4.67
656,AbdomenCT1K,69.81,9.26,9.26,8.63,3.04
657,AbdomenCT1K,72.06,8.68,8.68,7.72,2.86
658,AbdomenCT1K,75.64,7.675,7.675,4.29,4.73
659,AbdomenCT1K,71.56,7.665,7.665,9.98,3.13
660,AbdomenCT1K,62.98,8.145,8.145,15.7,5.03
661,AbdomenCT1K,70.95,8.825,8.825,7.93,3.47
662,AbdomenCT1K,72.22,7.22,7.22,10.64,2.7
663,AbdomenCT1K,76.6,5.705,5.705,9.53,2.46
664,AbdomenCT1K,70.56,6.7,6.7,12.35,3.69
665,AbdomenCT1K,53.55,5.185,5.185,33.82,2.27
666,AbdomenCT1K,75.47,8.55,8.55,5.55,1.88
667,AbdomenCT1K,71.1,7.12,7.12,11.24,3.42
668,AbdomenCT1K,70.64,7.025,7.025,11.54,3.77
669,AbdomenCT1K,68.9,8.53,8.53,11.25,2.79
670,AbdomenCT1K,72.87,7.47,7.47,8.81,3.37
671,AbdomenCT1K,70.7,9.145,9.145,9.12,1.89
672,AbdomenCT1K,74.18,6.16,6.16,10.8,2.7
673,AbdomenCT1K,75,7.44,7.44,6.68,3.43
674,AbdomenCT1K,74.73,8.12,8.12,4.84,4.18
675,AbdomenCT1K,77.62,5.33,5.33,10.04,1.68
676,AbdomenCT1K,67.1,8.195,8.195,12.86,3.65
677,AbdomenCT1K,67.82,9.81,9.81,9.58,2.99
678,AbdomenCT1K,61.95,6.23,6.23,23.34,2.25
679,AbdomenCT1K,70.4,8.475,8.475,8.76,3.88
680,AbdomenCT1K,74.56,5.525,5.525,10.9,3.49
681,AbdomenCT1K,73.2,7.555,7.555,7.88,3.81
682,AbdomenCT1K,72.45,5.975,5.975,11.48,4.12
683,AbdomenCT1K,69.83,8.48,8.48,8.69,4.52
684,AbdomenCT1K,73.61,7.62,7.62,7.37,3.78
685,AbdomenCT1K,71.66,8.29,8.29,8.96,2.79
686,AbdomenCT1K,69.41,8.805,8.805,10.04,2.94
687,AbdomenCT1K,71.67,5.145,5.145,14.3,3.75
688,AbdomenCT1K,71.63,7.815,7.815,8.71,4.03
689,AbdomenCT1K,64,12.315,12.315,8.18,3.19
690,AbdomenCT1K,65.01,9.48,9.48,13.16,2.87
691,AbdomenCT1K,71.57,7.66,7.66,9.38,3.73
692,AbdomenCT1K,66.77,8.975,8.975,10.77,4.52
693,AbdomenCT1K,74.08,6.695,6.695,8.37,4.16
694,AbdomenCT1K,68.46,8.8,8.8,11.13,2.82
695,AbdomenCT1K,71.81,8.565,8.565,8.31,2.75
696,AbdomenCT1K,63.6,10.45,10.45,12.18,3.32
697,AbdomenCT1K,66.27,9.82,9.82,9.51,4.58
698,AbdomenCT1K,68.63,9.555,9.555,8.85,3.42
699,AbdomenCT1K,73.75,6.99,6.99,8.74,3.52
700,AbdomenCT1K,70.56,9.165,9.165,6.84,4.27
701,AbdomenCT1K,68.38,7.41,7.41,11.57,5.24
702,AbdomenCT1K,65.64,8.14,8.14,14.27,3.81
703,AbdomenCT1K,75.22,7.36,7.36,6.9,3.16
704,AbdomenCT1K,68.93,7.91,7.91,11.93,3.31
705,AbdomenCT1K,69.44,6.79,6.79,12.56,4.42
706,AbdomenCT1K,66.85,8.72,8.72,12.95,2.76
707,AbdomenCT1K,68.9,7.055,7.055,13.52,3.46
708,AbdomenCT1K,70.31,9.09,9.09,8.65,2.87
709,AbdomenCT1K,65.01,7.72,7.72,13.35,6.2
710,AbdomenCT1K,78.74,5.805,5.805,6.48,3.17
711,AbdomenCT1K,65.4,9.83,9.83,11.21,3.73
712,AbdomenCT1K,72.48,7.325,7.325,9.68,3.19
713,AbdomenCT1K,66.98,7.905,7.905,12.07,5.15
714,AbdomenCT1K,74.1,6.815,6.815,9.82,2.46
715,AbdomenCT1K,74.33,7.305,7.305,7.88,3.18
716,AbdomenCT1K,74.88,7.34,7.34,6.39,4.05
717,AbdomenCT1K,72.44,8.775,8.775,4.64,5.37
718,AbdomenCT1K,63.08,7.75,7.75,18.11,3.31
719,AbdomenCT1K,71.85,7.135,7.135,10.04,3.84
720,AbdomenCT1K,59.65,7.07,7.07,24.44,1.76
721,AbdomenCT1K,72.16,7.62,7.62,9.34,3.25
722,AbdomenCT1K,74.55,5.665,5.665,12.13,1.99
723,AbdomenCT1K,69.08,10.785,10.785,6.17,3.18
724,AbdomenCT1K,61.37,14.555,14.555,5.98,3.54
725,AbdomenCT1K,61.55,14.44,14.44,6.09,3.48
726,AbdomenCT1K,63.75,13.535,13.535,5.88,3.29
727,AbdomenCT1K,70.9,6.755,6.755,12.42,3.17
728,AbdomenCT1K,71.91,6.985,6.985,10.72,3.4
729,AbdomenCT1K,70.46,9.615,9.615,7.23,3.08
730,AbdomenCT1K,68.76,8.3,8.3,11.5,3.14
731,AbdomenCT1K,65.98,7.755,7.755,13.97,4.55
732,AbdomenCT1K,65.01,10.25,10.25,9.74,4.75
733,AbdomenCT1K,59.62,7.97,7.97,20.57,3.87
734,AbdomenCT1K,66.72,8.83,8.83,14.3,1.32
735,AbdomenCT1K,63.82,8.495,8.495,13.8,5.39
736,AbdomenCT1K,74.24,8.955,8.955,1.79,6.06
737,AbdomenCT1K,72.44,8.03,8.03,7.55,3.95
738,AbdomenCT1K,64.23,9.69,9.69,10.77,5.61
739,AbdomenCT1K,64.32,8.26,8.26,14.19,4.98
740,AbdomenCT1K,74.17,7.945,7.945,7.39,2.55
741,AbdomenCT1K,68.11,7.325,7.325,12.71,4.53
742,AbdomenCT1K,61.79,9.36,9.36,15.27,4.22
743,AbdomenCT1K,66.37,7.575,7.575,13.83,4.66
744,AbdomenCT1K,56.61,11.135,11.135,16.12,4.99
745,AbdomenCT1K,67.13,7.355,7.355,15.2,2.96
746,AbdomenCT1K,70.45,9.3,9.3,5.96,4.98
747,AbdomenCT1K,69.08,7.97,7.97,13.65,1.33
748,AbdomenCT1K,64.17,10.995,10.995,10.99,2.86
749,AbdomenCT1K,65.59,10.255,10.255,10.14,3.77
750,AbdomenCT1K,71.25,8.11,8.11,9.87,2.65
751,AbdomenCT1K,70.65,9.125,9.125,8,3.09
752,AbdomenCT1K,59.97,7.465,7.465,20.24,4.86
753,AbdomenCT1K,70.96,7.89,7.89,9.24,4.01
754,AbdomenCT1K,71.47,6.705,6.705,9.8,5.32
755,AbdomenCT1K,68.5,9.88,9.88,9.69,2.05
756,AbdomenCT1K,76.76,5.925,5.925,7.73,3.66
757,AbdomenCT1K,66.56,9.39,9.39,10.2,4.46
758,AbdomenCT1K,67.07,7.375,7.375,14.63,3.56
759,AbdomenCT1K,63.73,5.755,5.755,21.93,2.82
760,AbdomenCT1K,74.49,7.41,7.41,8.06,2.63
761,AbdomenCT1K,66.04,7.115,7.115,15.64,4.1
762,AbdomenCT1K,72.68,7.86,7.86,9.08,2.52
763,AbdomenCT1K,68.63,7.375,7.375,13.06,3.56
764,AbdomenCT1K,66.76,8.245,8.245,13.63,3.12
765,AbdomenCT1K,68.33,8.74,8.74,11.23,2.96
766,AbdomenCT1K,71.43,7.465,7.465,10.87,2.77
767,AbdomenCT1K,70.77,8.7,8.7,8.98,2.85
768,AbdomenCT1K,68.95,7.835,7.835,11.57,3.81
769,AbdomenCT1K,76.65,7.465,7.465,4.98,3.44
770,AbdomenCT1K,66.43,9.165,9.165,12,3.24
771,AbdomenCT1K,66.56,6.865,6.865,17.65,2.07
772,AbdomenCT1K,72.82,8.555,8.555,5.59,4.48
773,AbdomenCT1K,72.05,8.885,8.885,6.77,3.42
774,AbdomenCT1K,70.93,7.495,7.495,10.56,3.52
775,AbdomenCT1K,68.51,8.12,8.12,10.78,4.46
776,AbdomenCT1K,71.21,6.52,6.52,12.06,3.69
777,AbdomenCT1K,70.48,7.435,7.435,10.18,4.47
778,AbdomenCT1K,68.74,7.795,7.795,12.83,2.84
779,AbdomenCT1K,71.34,7.78,7.78,9.64,3.46
780,AbdomenCT1K,67.42,12.34,12.34,2.81,5.09
781,AbdomenCT1K,69.62,8.32,8.32,10.64,3.1
782,AbdomenCT1K,71.89,9.095,9.095,7.33,2.59
783,AbdomenCT1K,73.25,8.605,8.605,5.9,3.64
784,AbdomenCT1K,75.57,6.39,6.39,9.14,2.51
785,AbdomenCT1K,65.76,7.915,7.915,15.17,3.23
786,AbdomenCT1K,68.39,8.165,8.165,11.27,4.01
787,AbdomenCT1K,71.84,7.435,7.435,9.14,4.15
788,AbdomenCT1K,73.68,7.04,7.04,8.84,3.4
789,AbdomenCT1K,72.39,8.145,8.145,8.49,2.84
790,AbdomenCT1K,73.19,7.455,7.455,8.37,3.53
791,AbdomenCT1K,70.85,8.86,8.86,9.09,2.34
792,AbdomenCT1K,72.89,6.535,6.535,9.55,4.49
793,AbdomenCT1K,70.36,6.235,6.235,14.26,2.92
794,AbdomenCT1K,68.28,7.875,7.875,12.83,3.14
795,AbdomenCT1K,72.19,7.145,7.145,10.25,3.26
796,AbdomenCT1K,70.03,8.22,8.22,9.13,4.4
797,AbdomenCT1K,71.95,7.225,7.225,9.94,3.67
798,AbdomenCT1K,67.53,7.13,7.13,15.15,3.07
799,AbdomenCT1K,77.08,8.045,8.045,3.21,3.62
800,AbdomenCT1K,56.95,16.145,16.145,7.71,3.04
801,AbdomenCT1K,60.34,13.63,13.63,8.1,4.29
802,AbdomenCT1K,71.84,9.67,9.67,6.75,2.08
803,AbdomenCT1K,45.56,18.965,18.965,7.27,9.25
804,AbdomenCT1K,55.16,18.005,18.005,6.61,2.22
805,AbdomenCT1K,65.52,11.89,11.89,6.79,3.91
806,AbdomenCT1K,74.51,8.725,8.725,6.84,1.2
807,AbdomenCT1K,61.08,11.07,11.07,14.42,2.36
808,AbdomenCT1K,70.36,9.23,9.23,6.57,4.6
809,AbdomenCT1K,72.39,8.245,8.245,7.68,3.44
810,AbdomenCT1K,63.31,8.955,8.955,15.59,3.19
811,AbdomenCT1K,71,8.515,8.515,8.78,3.19
812,AbdomenCT1K,72.65,6.4,6.4,11.11,3.44
813,AbdomenCT1K,70.57,12.595,12.595,3.18,1.06
814,AbdomenCT1K,75.91,6.33,6.33,9.14,2.29
815,AbdomenCT1K,67.07,9.09,9.09,9.85,4.9
816,AbdomenCT1K,70.32,8.425,8.425,8.71,4.12
817,AbdomenCT1K,65.66,9.42,9.42,11.11,4.4
818,AbdomenCT1K,67.71,6.54,6.54,15.4,3.81
819,AbdomenCT1K,65.8,8.45,8.45,11.88,5.42
820,AbdomenCT1K,68.86,7.645,7.645,11.28,4.57
821,AbdomenCT1K,72.31,6.955,6.955,8.2,5.57
822,AbdomenCT1K,66.4,9.38,9.38,7.15,7.68
823,AbdomenCT1K,67.08,7.325,7.325,14.21,4.05
824,AbdomenCT1K,69.61,9.04,9.04,7,5.32
825,AbdomenCT1K,64.28,10.07,10.07,11.04,4.54
826,AbdomenCT1K,70.3,8.17,8.17,9.8,3.57
827,AbdomenCT1K,58.96,7.45,7.45,23.11,3.03
828,AbdomenCT1K,63.35,11.645,11.645,7.7,5.67
829,AbdomenCT1K,65.8,8.405,8.405,15.41,1.97
830,AbdomenCT1K,65.66,10.4,10.4,8.49,5.06
831,AbdomenCT1K,68.28,7.585,7.585,14.57,1.98
832,AbdomenCT1K,71.76,8.005,8.005,8.32,3.91
833,AbdomenCT1K,69.48,9.43,9.43,5.88,5.78
834,AbdomenCT1K,74.88,7.24,7.24,8.67,1.98
835,AbdomenCT1K,67.41,8.54,8.54,7.02,8.49
836,AbdomenCT1K,73.98,6.5,6.5,10.53,2.5
837,AbdomenCT1K,74.18,8.645,8.645,5.75,2.77
838,AbdomenCT1K,69.4,6.06,6.06,15.16,3.32
839,AbdomenCT1K,70,10.555,10.555,3.76,5.13
840,AbdomenCT1K,68.19,9.065,9.065,8.54,5.13
841,AbdomenCT1K,67.36,8.82,8.82,11.58,3.43
842,AbdomenCT1K,68.5,8.445,8.445,12.17,2.44
843,AbdomenCT1K,64.51,8.66,8.66,14.85,3.33
844,AbdomenCT1K,65.18,10.5,10.5,10.29,3.52
845,AbdomenCT1K,72.41,8.96,8.96,6.27,3.4
846,AbdomenCT1K,70.53,8.535,8.535,9.35,3.06
847,AbdomenCT1K,70.63,8.865,8.865,8.49,3.15
848,AbdomenCT1K,67.98,10.795,10.795,6.78,3.65
849,AbdomenCT1K,71.22,8.13,8.13,8.27,4.25
850,AbdomenCT1K,60.66,10.72,10.72,15.73,2.17
851,AbdomenCT1K,69.75,9.325,9.325,7.42,4.18
852,AbdomenCT1K,69.97,6.39,6.39,11.57,5.69
853,AbdomenCT1K,66.76,7.235,7.235,14.84,3.93
854,AbdomenCT1K,70.32,9.275,9.275,8.15,2.97
855,AbdomenCT1K,70.56,7.32,7.32,10.92,3.87
856,AbdomenCT1K,76.11,4.56,4.56,9.89,4.88
857,AbdomenCT1K,75.95,7.715,7.715,6.9,1.72
858,AbdomenCT1K,72.41,7.14,7.14,9.99,3.32
859,AbdomenCT1K,72.54,9.05,9.05,4.85,4.51
860,AbdomenCT1K,70.23,8.09,8.09,10.08,3.51
861,AbdomenCT1K,66.19,8.955,8.955,10.5,5.4
862,AbdomenCT1K,71.57,7.52,7.52,8.45,4.94
863,AbdomenCT1K,68.41,8.52,8.52,6.5,8.05
864,AbdomenCT1K,68.99,7.53,7.53,12.32,3.63
865,AbdomenCT1K,67.5,6.975,6.975,14.42,4.13
866,AbdomenCT1K,68.54,11.21,11.21,2.47,6.57
867,AbdomenCT1K,65.84,8.145,8.145,11.53,6.34
868,AbdomenCT1K,62.32,8.71,8.71,16.29,3.97
869,AbdomenCT1K,72.45,7.76,7.76,9.56,2.47
870,AbdomenCT1K,70.09,9.905,9.905,6.65,3.45
871,AbdomenCT1K,76.94,5.08,5.08,8.64,4.26
872,AbdomenCT1K,65.51,7.835,7.835,14.8,4.03
873,AbdomenCT1K,72,8.26,8.26,8.9,2.59
874,AbdomenCT1K,67.85,7.105,7.105,14.82,3.12
875,AbdomenCT1K,58.13,7.69,7.69,25.39,1.09
